,title,description,title_label,description_label
0, 싸운 건  쇼 로이터   미 우크라 간 광물협정 체결할 수도 ,로이터통신은 이날  트럼프  행정부 소식통들을 인용해 이같이 전하면서 특히 도널드  트럼프  대통령은 이날 오후  시 분 한국시간  일 오전  시  분  시작하는 상 하원 합동회의 연설 때 협정 합의를 발표하길 희망한다는  ,0,0
1, 속보 트럼프   무역전쟁 에도   올해 경제성장률   안팎  목표,중국 국무원은  일 올해 경제성장률 목표치를  안팎 으로 제시했다   노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다  각종 비리와 부당대우  사건사고와 미담 등 모든 얘깃거리를 알려주세요 이메일  ,1,1
2,뉴욕증시  관세전쟁 격화에  일 연속 하락 마감,도널드  트럼프  미국 대통령  연합뉴스    트럼프  행정부의 관세전쟁이 격화하면서 뉴욕증시가  일 연속 하락 마감했다   일 미국 현지시간  뉴욕증권거래소 에 따르면 이날 다우존스 산업평균지수는 전장보다  ,0,0
3, 우크라 광물협정 임박 보도에 재무  지금은 아냐 ,일부 언론에서  트럼프  행정부 인사들을 인용해 발표가 임박한 것으로 보도했지만 주무 장관은 시기상조라는 인식을 드러낸 것이다  로이터통신은  일 현지시간   트럼프  행정부 소식통들을 인용해 양국이 광물 협정에  ,1,0
4, 트럼프  개입했지만  투어 커미셔너  와 통합 쉽지 않다 ,도널드  트럼프  미국 대통령이 개입해 타결이 임박한 것처럼 보였던   투어와   골프 통합 협상이 이른 시일 안에 마무리되기 쉽지 않다는 뜻이다   트럼프  대통령은 최근  차례나 모너핸 커미셔너를 포함한   투어  ,0,0
5,  엔비디아 급반등 이어 삼성전자    하이닉스  상승 출발 ,도널드  트럼프  대통령의 예고대로 이날 주요 무역국에 대한 관세 부과에 이어 상대국들도 즉각 보복관세로 맞불을 놓으면서 글로벌 무역전쟁 우려 확대 속에 이 같은 흐름이 나타났다고 미국 경제방송  ,0,0
6,미국 부통령  우크라 파병 추진 유럽국에  어중이떠중이  지칭 논란, 영국판  트럼프 로 불리는 나이절 패라지 영국개혁당 대표도  밴스는  틀렸다  틀렸다  틀렸다 면서 영국은 아프가니스탄에서  년 동안  미국의 편 에 섰다고 강조했습니다  프랑스군 대령 출신인 미셸 고야도  ,0,0
7,루비오 방문 한 달만에 홍콩 기업 결국 파나마운하 항만지분 미국 기업 ,도널드  트럼프  대통령이 파나마 운하를 미국이 소유해야 한다는 주장의 근거로 삼았던 홍콩 회사의 항만  그런데 지난해 당선된  트럼프  미국 대통령이 파나마 운하를 미국 소유로 만들어야 한다면서 중국이 파나마  ,1,0
8, 트럼프  관세   협상용 엄포  아닌  진심 그럼에도   증시 기 ,김학균 신영  리서치센터장 인터뷰  트럼프  관세    증시에 부담 불가피 전망   조정기  장기 박스권에  도널드  트럼프  미국 대통령 발  글로벌  관세 전쟁 이 국내외 증시에 미칠 영향과 이에 따른 투자  ,0,0
9,전진건설로봇 주가 방긋 우크라이나 전쟁 종전 임박, 트럼프  정부가 대 러시아 제재 완화를 추진하고 있다는 로이터 통신 보도에 대해선 제재가 해제돼야 러시아와 미국 관계가 정상화될 수 있다고 강조했다  페스코프 대변인은  우리가 양국 관계 정상화에 관해 얘기하고  ,1,1
10, 물동량  만 시대 마중물  인천신항 완전자동화부두 조성 순항,올해는  트럼프   기의 보호무역과 관세 부과 등이 인천항에 미치는 영향이 클 것으로 보인다  이 사장은 물동량 유치 해법으로 타깃 마케팅 강화와 항로 다변화  특화화물 유치 등을 내세웠다  구체적으로 미주에서  ,0,0
11, 해외브리핑  미    억  규모 태양광 프로그램 보조금 동결 해제,사진 연합 미    억 달러 규모 태양광 프로그램 보조금 동결 해제 블룸버그의  일 현지시간  보도에 따르면  미국 환경보호청 이 도널드  트럼프  대통령 취임 이후 동결했던 모두를 위한  ,0,0
12,코스피    증시 변동성 속 상승 출발 선 등락, 트럼프 발 관세 영향으로 미국 증시가 하락 마감했지만  미국 장 마감 이후 미국 상무부 장관이 캐나다와 멕시코에 부과한   관세 정책과 관련 타협안을 발표할 수 있다고 밝히면서 일부 투자심리가 개선된  ,1,0
13, 미국 술 치워라 캐나다 주 정부들  트럼프  관세에 맞불,온타리오와 퀘벡 등 캐나다 주요 주 들이  일 현지시간  도널드  트럼프  미국 행정부의 관세 부과에 맞서 미국산 술 판매를 금지했다  더그 포드 온타리오 주지사는 미국산 알코올 판매 금지 조치를 발표하며  이는  ,0,0
14,  김여정  칼빈슨함  발끈하자  한국 방어 공약 분명 ,도널드  트럼프   기 행정부 출범 이후 미국의 한미동맹에 대한 변함없는 의지를 보여주는 신호라는 해석도 나온다  에반스 리비어 전 국무부 동아태 담당 수석 부차관보는 미국의소리  방송에  트럼프  행정부에서  ,1,0
15,대성하이텍  방산 수주 비중 급증 유럽 및 이스라엘과 장기 계약 기대 ,도널드  트럼프  미국 대통령은 전쟁 중인 우크라이나에 군사원조를 잠정적으로 중단하기로 하면서 유럽 국가들의 안보 우려감을 키우고 있다  유럽 정상들은  트럼프  대통령 탈세계화 정책이 가시화되자 군사력 증강을  ,1,1
16,코스닥  외인 기관 사자에  대 상승 선,도널드  트럼프  대통령이  일 현지시간  멕시코 캐나다 중국 등  개국산 수입품에 신규 관세 부과를 발효하고 이들  개국이 보복 조치에 나서거나 보복을 예고  관세전쟁이 격화 양상을 보이면서 위험회피  ,1,0
17,미 상무  중간서 만날 수도 캐 멕 관세 경감 가능 시사,도널드  트럼프  미국 대통령이 자유무역협정을 맺은 캐나다와 멕시코에  의 관세를 부과한 가운데 미  그는  트럼프  대통령은 매우 공정하고 합리적 이라면서  그래서 저는 그가 그들 멕시코 캐나다 과 함께 뭔가  ,0,1
18, 트럼프  캐나다  총리 를  주지사 로 호칭 상호관세 부과 으름장,도널드  트럼프  미국 대통령이  일 현지시간 부터 부과하기 시작한 대캐나다  의 관세에 대해 캐나다 측이  보복관세 로 맞불을 놓자  이에 상응하는 상호관세를 추가로 즉각 부과하겠다고 맞받았다   트럼프  대통령은 이날  ,0,0
19, 상무  트럼프   멕 관세 경감 고려 내일 발표할 듯 상보 , 트럼프  미국 대통령이 캐나다와 멕시코에 대한 관세 경감을 고려하고 있다고 밝혔다  미국 관세부과 소식 전하는 멕시코 신문 멕시코시티 연합뉴스  이재림 특파원   멕시코산 제품에 대한 미국 도널드  트럼프   기  ,0,0
20,  원조중단에 속탄 젤렌스키  백악관 일 유감 바로잡을 때 ,볼로디미르 젤렌스키 우크라이나 대통령 왼쪽 과 도널드  트럼프  미국 대통령  사진 연합뉴스  미국이 군사  않는다 며  우리는  트럼프  대통령의 강력한 리더십 아래에서 지속적인 평화를 이루기 위해 노력할 준비가 돼  ,1,1
