,title,title_label,description,description_label
0, 속보 트럼프   무역전쟁 에도   올해 경제성장률   안팎  목표,1,중국 국무원은  일 올해 경제성장률 목표치를  안팎 으로 제시했다   노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다  각종 비리와 부당대우  사건사고와 미담 등 모든 얘깃거리를 알려주세요 이메일  ,1
1,전진건설로봇 주가 방긋 우크라이나 전쟁 종전 임박,1, 트럼프  정부가 대 러시아 제재 완화를 추진하고 있다는 로이터 통신 보도에 대해선 제재가 해제돼야 러시아와 미국 관계가 정상화될 수 있다고 강조했다  페스코프 대변인은  우리가 양국 관계 정상화에 관해 얘기하고  ,1
2,대성하이텍  방산 수주 비중 급증 유럽 및 이스라엘과 장기 계약 기대 ,1,도널드  트럼프  미국 대통령은 전쟁 중인 우크라이나에 군사원조를 잠정적으로 중단하기로 하면서 유럽 국가들의 안보 우려감을 키우고 있다  유럽 정상들은  트럼프  대통령 탈세계화 정책이 가시화되자 군사력 증강을  ,1
3,미 상무  중간서 만날 수도 캐 멕 관세 경감 가능 시사,0,도널드  트럼프  미국 대통령이 자유무역협정을 맺은 캐나다와 멕시코에  의 관세를 부과한 가운데 미  그는  트럼프  대통령은 매우 공정하고 합리적 이라면서  그래서 저는 그가 그들 멕시코 캐나다 과 함께 뭔가  ,1
4,  원조중단에 속탄 젤렌스키  백악관 일 유감 바로잡을 때 ,1,볼로디미르 젤렌스키 우크라이나 대통령 왼쪽 과 도널드  트럼프  미국 대통령  사진 연합뉴스  미국이 군사  않는다 며  우리는  트럼프  대통령의 강력한 리더십 아래에서 지속적인 평화를 이루기 위해 노력할 준비가 돼  ,1
5,  국방차관 후보  한국 정치상황에 공개 우려 입장,0,미국  트럼프   기 행정부의 국방정책을 설계할 엘브리지 콜비 미국 국방부 정책 담당 차관 지명자가  일 현지  도널드  트럼프  대통령의 비전에는 한국과 같이 유능하고 의욕적인 동맹국에 힘을 실어주는 것이 포함된다 고  ,1
6,예수회난민봉사기구  지원 중단에 활동 위축 우려,0,라이언 대표는  미국이 해외 원조 사업에 믿을 수 없을 정도로 큰 지원을 해 오다 도널드  트럼프  대통령 취임 이후 갑작스레 지원을 중단해 그리스도교 박해와 난민 발생의 중요한 원인이 되고 있다 고  ,1
7, 보스레이디 로 변신한 멜라니아 슈트 빼입고 성큼 돌진,0,도널드  트럼프  미국 대통령의 재집권과 함께 백악관에 복귀한 배우자 멜라니아  트럼프  여사의 갑작스러운 스타일 변화가 눈길을 끌고 있다  멜라니아  트럼프  미국 영부인이  일 베이지색 정장 차림으로 미국 워싱턴   ,1
8,미 상무  중간서 만날 수도 일 캐 멕 관세 경감 가능성 시사,0,그는  트럼프  대통령은 매우 공정하고 합리적 이라며  그래서 저는 그가 그들 멕시코 캐나다 과 함께 뭔가를 해결할 것이라고 생각한다 고 했습니다  이어  그것은  관세 부과  유예가 아니며  트럼프  대통령은 방법을  ,1
9,여 지도부  철강산업 현장간담회 경주   현장 점검,0,국민의힘은  트럼프   기 행정부 출범 등 급변하는 국제정세 속에서 국내 철강산업이 당면하고 있는 과제를 논의하고자 포스코 포항제철소를 방문합니다  권성동 원내대표를 비롯한 원내지도부는 오늘 포스코  ,1
10, 로부터 안보 독립 꾀하는 유럽 재무장에  조 쓴다,0,도널드  트럼프  미국 대통령이 서구 동맹이 아닌 러시아와 밀착하면서 유럽의 안보 위기가 고조되고  월스트리트저널 은  이 계획은 유럽 지도자들이  트럼프 의 요구에 패닉에 빠져 있는 순간에 중요한 정책 변화를  ,1
11,  다음 타자는 헤데라 나스닥   에 핵심 서류 제출,1,  같은 기업들로 구성된 이사회가 관리하며  의사 결정과 토큰 배포를 담당한다  도널드  트럼프  대통령의 재선 이후  미국에서는 비트코인과 이더리움을 넘어 다양한 토큰 기반의 암호화폐   신청이 쇄도하고 있다 ,1
12,  멕    관세 경감 가능성 이르면  일 발표,0,이어  그래서 그 도널드  트럼프  미국 대통령 가 그들 멕시코 캐나다 과 함께 뭔가 만들어낼 수 있다고 생각한다 며  그것은  관세 부과  유예가 아니지만 그 트럼프  대통령 는 방법을 찾아낼 것 이라고 덧붙였다  ,1
13, 트럼프  관세    토요타보다 현대 기아 사정 낫지만  우리도 풍전등 ,1,도널드  트럼프  미국 대통령은  일 현지시간 부터 시행하기로 예고한 중국  멕시코  캐나다산 수입품에 대한  이에따라 현대와 기아는  트럼프 의 관세정책으로 인해 오히려 수혜를 볼 수 있다는 관측도 나오고 있다  주요  ,1
